Date,Open,High,Low,Close,Adj Close,Volume
9/12/2019,51.689999,53.240002,50.849998,50.950001,50.950001,1412900
16/12/2019,51.75,52.419998,49.18,49.48,49.48,1815700
23/12/2019,49.540001,50.119999,49.400002,50,50,527700
30/12/2019,49.93,50.82,49.700001,50.25,50.25,680900
6/01/2020,49.400002,49.75,48.900002,49.459999,49.459999,1734900
13/01/2020,49.099998,49.599998,48.57,48.669998,48.669998,872200
20/01/2020,49,49.959999,48.849998,49.73,49.73,583900
27/01/2020,48.080002,48.990002,45.75,45.900002,45.900002,2032600
3/02/2020,46.139999,46.5,45.799999,46.029999,46.029999,2234600
10/02/2020,46.029999,46.830002,45.099998,45.220001,45.220001,1884100
17/02/2020,44.959999,45.599998,44.150002,44.349998,44.349998,1121900
24/02/2020,43.049999,44.23,40.759998,41.98,41.98,2074100
2/03/2020,42.009998,43.950001,42.009998,43.880001,43.880001,1505700
9/03/2020,42.200001,43.580002,37.650002,39.700001,39.700001,2298900
16/03/2020,37.700001,45.18,35.82,43.509998,43.509998,1977800
23/03/2020,42.720001,46.529999,42.290001,45.689999,45.689999,3019400
30/03/2020,47.740002,49.040001,45.810001,48.040001,48.040001,2466800
6/04/2020,49.09,51.09,49.09,50.490002,50.490002,2078700
13/04/2020,50.650002,55.099998,50.650002,53.630001,53.630001,2562100
20/04/2020,52.849998,55.919998,52.459999,54.830002,54.830002,3062700
27/04/2020,54.889999,54.889999,51.02,52.360001,52.360001,1746200
4/05/2020,51.66,54.84,51.18,51.799999,51.799999,2253000
11/05/2020,51.200001,52.709999,50.669998,52.389999,52.389999,1220800
18/05/2020,52.09,52.650002,50.810001,52.130001,52.130001,1381300
25/05/2020,51.77,51.77,50.5,50.84,50.84,1410100
1/06/2020,51.299999,53.080002,50.43,52.720001,52.720001,2622500
8/06/2020,51.450001,55.689999,51,55.400002,55.400002,1521500
15/06/2020,55.02,58.950001,54.580002,58.59,58.59,1540300
22/06/2020,58.880001,58.880001,55.110001,56.200001,56.200001,4066000
29/06/2020,56.380001,56.689999,55.220001,56.369999,56.369999,535500
6/07/2020,58.060001,60,56.990002,57.290001,57.290001,1134000
13/07/2020,56.599998,57.5,55.549999,55.84,55.84,914100
20/07/2020,55.490002,55.91,54.720001,55.259998,55.259998,853500
27/07/2020,55.540001,56.91,54.77,55.009998,55.009998,750000
3/08/2020,55.490002,62.200001,55,59.130001,59.130001,3152300
10/08/2020,60.200001,60.5,58.400002,59.959999,59.959999,1398200
17/08/2020,60.119999,64.739998,60.119999,64.309998,64.309998,2856700
24/08/2020,67.599998,68.699997,65.699997,67.239998,67.239998,5224300
31/08/2020,67.230003,71.309998,66.949997,70.68,70.68,10100900
7/09/2020,66.470001,70,66.019997,69.989998,69.989998,2373400
14/09/2020,70.18,72.82,69.959999,72.059998,72.059998,2290800
